source,current_observation_grain,receiver_identity,defender_identity,alignment_or_scheme,wr_role_or_shadow,point_in_time_status,supported_assignment_basis,allowed_use,unsupported_claim
fantasy_points_receiver_coverage_l4,receiver x prior-window coverage family,gsis_id,no,man/zone receiver results,no,prior four weeks,none,receiver response to man/zone,individual WR-CB exposure
fantasy_points_alignment_player_l4,receiver x prior-window alignment,gsis_id,no,wide/slot/inline route shares,no,prior four weeks,none,receiver alignment mixture,individual WR-CB exposure
fantasy_points_defense_coverage_l4,defense x prior-window scheme,no,no,team man/zone rates,no,prior four weeks,none,team scheme gate,individual WR-CB exposure
fantasy_points_wrCoverageMatchupExport,receiver x scheduled opponent,display name,no,team scheme matchup and derived grade,no,current web export only,none,descriptive/forward matchup grade after timestamp audit,individual WR-CB exposure
sis_receiver_copula_player_game,defender x offense x wide/slot x game,no,SIS defender id,wide/slot plus target results,no,retrospective game charting,none,defender alignment quality and workload,receiver-defender target pair or route pair
receiver_week_role_pit,receiver x target week,gsis_id,no,receiver opportunity role,WR1/WR2/WR3+/TE1/TE2+,strict pre-lock priors,derived-role,opponent concession by derived receiver role,vendor-stated role assignment
defender_alignment_quality_week_pit,defender x defense x target week x alignment,no,SIS defender id,wide/slot workload and shrunk quality,no,strict prior games,alignment-workload,alignment-weighted defender context,probability a named defender covers a named receiver
defense_receiver_role_concession_pit,defense x target week x receiver role,derived role,no,no,WR1/WR2/WR3+/TE1/TE2+,strict prior games,derived-role,team concession to receiver role,individual defender matchup
potential_vendor_wr_cb_tool,receiver x defender expected exposure,yes,yes,left/right/slot overlap,possible shadow tendency,not present in retained export,vendor-role or vendor-shadow only after schema receipt,future expected-exposure prior,observed per-route assignment
potential_pff_or_ftn_feed,receiver x defender x snap or projected matchup,yes,yes,provider-dependent,provider-dependent,not acquired,vendor-shadow only after contract audit,future acquisition candidate,any current-production availability
